DeltariSeglingCtr,DeltariRegistrerandeKrets,DeltariFNDeltagare,DeltariFNSegling,DeltariSkipperGastqq,DeltariFNSkipperGast
3092,"Stockholm",16,2054,,2
3093,"Stockholm",37,2055,,2
3094,"Stockholm",1011,2056,,2
3095,"Stockholm",58,2057,,2
3096,"Stockholm",29,2058,,2
3097,"Stockholm",1133,2037,,1
3098,"Stockholm",1154,2031,,1
3099,"Stockholm",1155,2031,,1
3100,"Stockholm",21,2050,,1
3101,"Stockholm",1146,2049,,1
3102,"Stockholm",1147,2049,,1
3103,"Stockholm",1152,2049,,1
3104,"Stockholm",1151,2035,,1
3105,"Stockholm",1148,2056,,1
3106,"Stockholm",1149,2056,,1
3107,"Stockholm",1150,2056,,1
3108,"Stockholm",1092,2043,,1
3110,"Stockholm",179,2051,,1
3111,"Stockholm",817,2051,,1
3112,"Stockholm",1153,2055,,1
3113,"Stockholm",1156,2059,,2
3114,"Stockholm",944,2060,,2
3116,"Stockholm",998,2062,,2
3117,"Stockholm",110,2063,,2
3118,"Stockholm",211,2064,,2
3119,"Stockholm",45,2065,,2
3121,"Stockholm",160,2067,,2
3122,"Stockholm",475,2068,,2
3123,"Stockholm",4,2069,,2
3125,"Stockholm",1157,2071,,2
3126,"Stockholm",549,2072,,2
3127,"Stockholm",591,2073,,2
3128,"Stockholm",964,2069,,1
3129,"Stockholm",823,2053,,1
3130,"Stockholm",1162,2053,,1
3131,"Stockholm",53,2053,,1
3132,"Stockholm",121,2044,,1
3138,"Stockholm",900,2073,,1
3139,"Stockholm",614,2046,,1
3140,"Stockholm",1041,2062,,1
3141,"Stockholm",517,2072,,1
3142,"Stockholm",561,2072,,1
3143,"Stockholm",1160,2060,,1
3144,"Stockholm",742,2060,,1
3145,"Stockholm",1159,2034,,1
3146,"Stockholm",23,2067,,1
3147,"Stockholm",1163,2071,,1
3148,"Stockholm",76,2063,,1
3149,"Stockholm",1158,2074,,2
3150,"Stockholm",613,2074,,1
3151,"Stockholm",1010,2075,,2
3152,"Stockholm",1032,,,1
3153,"Stockholm",1033,,,1
3154,"Stockholm",1032,,,1
3155,"Stockholm",1032,,,1
3156,"Stockholm",1033,,,1
3157,"Stockholm",1032,2075,,1
3158,"Stockholm",1033,2075,,1
3159,"Stockholm",1034,2075,,1
3160,"Stockholm",1164,2075,,1
3161,"Stockholm",1035,2075,,1
3162,"Stockholm",1161,2075,,1
3163,"Stockholm",873,2060,,1
3164,"Stockholm",166,2076,,2
3165,"Stockholm",1165,2037,,1
3166,"Stockholm",645,2077,,2
3167,"Stockholm",1166,2077,,1
3168,"Stockholm",981,2048,,1
3169,"Stockholm",1169,2060,,1
3170,"Stockholm",1171,2032,,1
3171,"Stockholm",1174,2047,,1
3172,"Stockholm",1176,2047,,1
3173,"Stockholm",1088,2033,,1
3174,"Stockholm",1132,2033,,1
3175,"Stockholm",1167,2059,,1
3176,"Stockholm",1168,2059,,1
3177,"Stockholm",1173,2059,,1
3178,"Stockholm",566,2078,,2
3179,"Stockholm",1172,2059,,1
3180,"Stockholm",53,2079,,2
3181,"Stockholm",472,2080,,2
3183,"Stockholm",974,2081,,2
3184,"Stockholm",29,2082,,2
3185,"Stockholm",160,2083,,2
3186,"Stockholm",1177,2084,,2
3187,"Stockholm",56,2085,,2
3188,"Stockholm",916,2086,,2
3189,"Stockholm",663,2087,,2
3190,"Stockholm",889,2088,,2
3191,"Stockholm",1144,2089,,2
3192,"Stockholm",1158,2090,,2
3193,"Stockholm",249,2091,,2
3194,"Stockholm",1180,2092,,2
3195,"Stockholm",244,2093,,2
3196,"Stockholm",634,2094,,2
3197,"Stockholm",166,2095,,2
3199,"Stockholm",1071,2096,,2
3200,"Stockholm",173,2097,,2
3201,"Stockholm",1010,2098,,2
3202,"Stockholm",57,2099,,2
3203,"Stockholm",151,2100,,2
3204,"Stockholm",164,2101,,2
3205,"Stockholm",591,2102,,2
3206,"Stockholm",1178,2103,,2
3207,"Stockholm",840,2104,,2
3208,"Stockholm",944,2105,,2
3209,"Stockholm",1179,2106,,2
3210,"Stockholm",35,2107,,2
3211,"Stockholm",4,2108,,2
3212,"Stockholm",977,2109,,2
3213,"Stockholm",205,2110,,2
3214,"Stockholm",964,2108,,1
3216,"Stockholm",1184,2098,,1
3217,"Stockholm",1189,2098,,1
3218,"Stockholm",1032,2098,,1
3219,"Stockholm",900,2102,,1
3220,"Stockholm",1182,2103,,1
3221,"Stockholm",1183,2103,,1
3222,"Stockholm",1191,2109,,1
3223,"Stockholm",762,2093,,1
3224,"Stockholm",1186,2093,,1
3225,"Stockholm",825,2093,,1
3226,"Stockholm",1181,2104,,1
3227,"Stockholm",1188,2104,,1
3229,"Stockholm",1193,2099,,1
3230,"Stockholm",742,2105,,1
3231,"Stockholm",986,2079,,1
3233,"Stockholm",135,2079,,1
3234,"Stockholm",136,2079,,1
3235,"Stockholm",846,2080,,1
3236,"Stockholm",23,2083,,1
3237,"Stockholm",1133,2089,,1
3238,"Stockholm",1187,2089,,1
3239,"Stockholm",1190,2089,,1
3240,"Stockholm",764,2101,,1
3241,"Stockholm",179,2101,,1
3242,"Stockholm",613,2090,,1
3243,"Stockholm",1185,2090,,1
3244,"Stockholm",1195,2091,,1
3245,"Stockholm",1194,2096,,1
3246,"Stockholm",873,2105,,1
3247,"Stockholm",708,2111,,2
3248,"Stockholm",1198,2096,,1
3249,"Stockholm",1169,2105,,1
3250,"Stockholm",1197,2112,,2
3251,"Stockholm",645,2113,,2
3252,"Stockholm",1131,2107,,1
3253,"Stockholm",1158,2114,,2
3254,"Stockholm",594,2115,,2
3255,"Stockholm",1177,2116,,2
3256,"Stockholm",164,2117,,2
3257,"Stockholm",1199,2118,,2
3258,"Stockholm",1200,2119,,2
3259,"Stockholm",1081,2120,,2
3260,"Stockholm",916,2121,,2
3261,"Stockholm",840,2122,,2
3262,"Stockholm",29,2123,,2
3263,"Stockholm",1201,2124,,2
3264,"Stockholm",1114,2125,,2
3265,"Stockholm",37,2126,,2
3266,"Stockholm",889,2127,,2
